property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,158.0,180989.82,,,
apartment,Northeast,102.0,265243.71,,,
apartment,Northeast,54.0,92679.27,,,
apartment,Northeast,128.0,235843.06,,,
apartment,Northeast,164.0,414404.29,,,
apartment,Northeast,210.0,327653.99,,,
apartment,Northeast,139.0,234038.56,,,
apartment,Northeast,215.0,374461.71,,,
apartment,Northeast,180.0,265243.71,,,
apartment,Northeast,212.0,415028.39,,,
apartment,Northeast,120.0,98296.19,,,
apartment,Northeast,168.0,312051.42,,,
apartment,Northeast,142.0,115146.97,,,
apartment,Northeast,78.0,134182.11,,,
apartment,Northeast,100.0,109217.99,,,
apartment,Northeast,198.0,218435.99,,,
apartment,Northeast,114.0,202833.42,,,
apartment,Northeast,82.0,81133.37,,,
apartment,Northeast,203.0,265243.71,,,
apartment,Northeast,90.0,131061.59,,,
apartment,Northeast,75.0,85703.4,,,
apartment,Northeast,67.0,131061.59,,,
apartment,Northeast,156.0,390064.28,,,
apartment,Northeast,116.0,208450.35,,,
apartment,Northeast,143.0,253385.75,,,
apartment,Northeast,109.0,146664.17,,,
apartment,Northeast,155.0,310491.16,,,
apartment,Northeast,71.0,84253.88,,,
apartment,Northeast,100.0,146664.17,,,
apartment,Northeast,103.0,186669.16,,,
apartment,Northeast,89.0,160706.48,,,
apartment,Northeast,143.0,296448.85,,,
apartment,Northeast,75.0,77388.75,,,
house,Northeast,170.0,93615.42,,,
apartment,Northeast,230.0,464956.62,,,
apartment,Northeast,73.0,104537.22,,,
apartment,Northeast,200.0,187230.85,,,
apartment,Northeast,74.0,101416.71,,,
apartment,Northeast,142.0,274605.25,,,
apartment,Northeast,77.0,109217.99,,,
apartment,Northeast,200.0,187230.85,,,
apartment,Northeast,210.0,238719.34,,,
apartment,Northeast,105.0,136490.6,,,
apartment,Northeast,210.0,238719.34,,,
apartment,Northeast,105.0,136490.6,,,
apartment,Northeast,186.0,405666.85,,,
apartment,Northeast,128.0,140423.14,,,
apartment,Northeast,139.0,249641.14,,,
apartment,Northeast,182.0,436871.99,,,
apartment,Northeast,139.0,249641.14,,,
apartment,Northeast,182.0,436871.99,,,
apartment,Northeast,204.0,452474.56,,,
apartment,Northeast,204.0,468077.13,,,
apartment,Northeast,82.0,131061.59,,,
apartment,Northeast,82.0,131061.59,,,
apartment,Northeast,110.0,93615.42,,,
apartment,Northeast,106.0,185670.59,,,
apartment,Northeast,63.0,109217.99,,,
apartment,Northeast,110.0,93615.42,,,
apartment,Northeast,106.0,185670.59,,,
apartment,Northeast,63.0,109217.99,,,
apartment,Northeast,67.0,112338.51,,,
apartment,Northeast,88.0,121700.05,,,
apartment,Northeast,88.0,121700.05,,,
apartment,Northeast,133.0,199182.42,,,
apartment,Northeast,67.0,106097.48,,,
apartment,Northeast,82.0,127941.08,,,
apartment,Northeast,67.0,106097.48,,,
apartment,Northeast,110.0,215315.48,,,
apartment,Northeast,112.0,196592.39,,,
apartment,Northeast,53.0,90800.72,,,
apartment,Northeast,60.0,96735.94,,,
house,Northeast,200.0,249641.14,,,
apartment,Northeast,79.0,156457.9,,,
apartment,Northeast,103.0,252888.97,,,
apartment,Northeast,90.0,158740.56,,,
apartment,Northeast,84.0,146664.17,,,
apartment,Northeast,59.0,130749.54,,,
apartment,Northeast,97.0,193471.88,,,
apartment,Northeast,110.0,152905.19,,,
apartment,Northeast,84.0,146664.17,,,
apartment,Northeast,59.0,130749.54,,,
apartment,Northeast,115.0,288335.51,,,
apartment,Northeast,113.0,101416.71,,,
apartment,Northeast,109.0,160706.48,,,
apartment,Northeast,112.0,90494.91,,,
house,Northeast,190.0,106097.48,,,
house,Northeast,130.0,84253.88,,,
house,Northeast,80.0,468077.13,,,
apartment,Northeast,70.0,133462.52,,,
apartment,Northeast,65.0,102641.2,,,
apartment,Northeast,67.0,86296.26,,,
house,Northeast,145.0,78012.85,,,
house,Northeast,96.0,202833.42,,,
apartment,Northeast,86.0,132683.01,,,
house,Northeast,110.0,109217.99,,,
apartment,Northeast,75.0,76452.59,,,
apartment,Northeast,113.0,102581.9,,,
house,Northeast,114.0,95487.73,,,
apartment,Northeast,58.0,91811.77,,,
apartment,Northeast,132.0,78012.85,,,
apartment,Northeast,84.0,122636.21,,,
house,Northeast,110.0,90494.91,,,
apartment,Northeast,96.0,87374.39,,,
house,Northeast,182.0,109217.99,,,
house,Northeast,136.0,101416.71,,,
apartment,Northeast,194.0,102976.97,,,
apartment,Northeast,220.0,405666.85,,,
apartment,Northeast,220.0,405666.85,,,
apartment,Northeast,142.0,343256.56,,,
apartment,Northeast,108.0,168507.77,,,
apartment,Northeast,108.0,168507.77,,,
apartment,Northeast,74.0,102976.97,,,
apartment,Northeast,140.0,140423.14,,,
apartment,Northeast,94.0,165387.25,,,
apartment,Northeast,67.0,140423.14,,,
apartment,Northeast,140.0,140423.14,,,
apartment,Northeast,60.0,117647.44,,,
